"Name","Mammals","Birds","Reptiles*","Amphibians","Fishes*","Molluscs*","Other Inverts*","Plants*","Fungi*","Chromists*","Total"
"Argentina","38","54","29","34","57","0","19","71","19","0","321"
"Bolivia, Plurinational States of","23","53","14","53","9","2","1","303","0","0","458"
"Brazil","94","166","94","36","208","22","70","1,326","24","0","2,040"
"Chile","18","34","28","34","40","1","13","91","19","0","278"
"Colombia","63","110","39","289","178","4","60","763","5","0","1,511"
"Ecuador","49","94","93","170","98","49","27","2,020","2","6","2,608"
"Falkland Islands (Malvinas)","4","8","0","0","7","0","0","5","6","0","30"
"French Guiana","8","7","7","5","57","0","1","33","0","0","118"
"Guyana","11","14","6","21","59","0","1","68","1","0","181"
"Paraguay","10","28","12","1","0","0","2","21","1","0","75"
"Peru","51","103","33","136","89","4","7","543","1","0","967"
"Suriname","9","7","6","1","58","0","1","41","0","0","123"
"Uruguay","9","22","7","5","71","0","3","22","0","0","139"
"Venezuela, Bolivarian Republic of","37","47","32","128","99","1","41","440","1","0","826"